od_id,origin_name,origin_lat,origin_lng,origin_district,dest_name,dest_lat,dest_lng,dest_district,straight_line_km,distance_band,situation_id,weather,departure_at,carry_luggage,stroller,shade_priority,minimize_transfers,avoid_stairs,low_floor_priority,source_kind
od-6055dd38c2785bbe5017,유실물보관소 (금정구),35.2295021,129.0928287,금정구,쿄다이 떡 (기장군),35.2887703,129.1670111,기장군,9.4233,medium_4_to_12km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-9164a8e5da62ac7ef48e,포레스트3002 (강서구),35.1159142,128.8935163,강서구,평창면옥 (강서구),35.1086195,128.9314355,강서구,3.5432,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-cecdfb39895207e92856,사)행복한복지재단부산진구노인의료센터 (부산진구),35.1537701,129.0277086,부산진구,시오 (동구),35.128942,129.048483,동구,3.3452,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-ee0981a52d52f3e16da0,큰집꼬리곰탕 (영도구),35.077185,129.0730749,영도구,(G)아름다움을 탐하다 (금정구),35.2534791,129.0901607,금정구,19.6645,long_12_to_25km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-6e6595bec1c064e1ac9e,큐브모터스 (수영구),35.1627196,129.1116266,수영구,청도양곱창 (부산진구),35.1543339,129.0564625,부산진구,5.1009,medium_4_to_12km,balanced_morning,normal,2026-08-03T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-fae843f63a33454f90a2,면.담다 (사상구),35.1652037,128.9794241,사상구,동근이 숯불 두마리 치킨 (사상구),35.1400693,128.9813487,사상구,2.8003,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-0e2b91c46d9e146cbf0e,배떡 (부산진구),35.1505175,129.0222795,부산진구,빡돈 (동래구),35.2048952,129.0794344,동래구,7.9715,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-7796e6085019ac7e1517,원더풀그린 (동구),35.1182393,129.0424444,동구,옷상자아예 (금정구),35.2639248,129.0868616,금정구,16.6948,long_12_to_25km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-72fffeca5c06602d833b,주식회사 그랜드썬기술단 (강서구),35.2076868,128.9793777,강서구,다솜종합상사 (강서구),35.2130594,128.9570477,강서구,2.1148,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-bfbd1800b663c6563154,주식회사 쥐엔에프씨 (기장군),35.3173598,129.1664938,기장군,우드웍스30(wood works30) (기장군),35.2733793,129.1569388,기장군,4.9667,medium_4_to_12km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-851f5cb8873304e9465e,정가네소양곱창 (연제구),35.1824697,129.106936,연제구,현플라워 (동래구),35.1971888,129.0929523,동래구,2.0721,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-10be3161b3d580da8c6c,에그플 초량점 (동구),35.1226993,129.0402348,동구,한진약품 (동래구),35.1989553,129.0891009,동래구,9.5724,medium_4_to_12km,balanced_morning,normal,2026-08-03T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-098a1a5d1629e7865a38,그리고7월 (서구),35.1069042,129.0183941,서구,목림아구찜 (연제구),35.1785759,129.1073969,연제구,11.3581,medium_4_to_12km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-e6cf1d615d8652ab8539,김윤정 통닭 (금정구),35.2430715,129.0942347,금정구,경보전기철물 (금정구),35.2683742,129.0889439,금정구,2.8543,short_1_5_to_4km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-9733720ca29406968e66,디어데이 (수영구),35.1511489,129.1118747,수영구,60계치킨개금.주례점 (부산진구),35.1502171,129.0211243,부산진구,8.2515,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-60b52ab6fcb629b083d4,주식회사비아이푸드범전지점 (부산진구),35.1643692,129.063466,부산진구,의료법인갑을의료재단 갑을녹산병원 (강서구),35.0934554,128.8526009,강서구,20.7344,long_12_to_25km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-dc77055ff158615e5e71,(주)동명베아링 (사상구),35.1609416,128.9771347,사상구,목림상사 (사상구),35.1515372,128.9965128,사상구,2.0487,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-33dbe4449b347d017f2b,대림PVC상사 (해운대구),35.1831669,129.2003348,해운대구,(주)디지로그다 (남구),35.1334383,129.088245,남구,11.5936,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-c1cf96cf0a7afb38dd45,갤러리 공감 (동래구),35.2052303,129.0853797,동래구,우리약국 (동래구),35.19918,129.06078,동래구,2.3342,short_1_5_to_4km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-2d9a2b4afa843e47bdfa,백년가방 (중구),35.1009972,129.0276896,중구,부자식육점 (영도구),35.0926804,129.0429809,영도구,1.6705,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-f85188a9d4e0a0afd10a,대영축산 (동래구),35.2006016,129.0991689,동래구,칼맛나는푸짐한횟집 (금정구),35.232125,129.0887085,금정구,3.6318,short_1_5_to_4km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-b78b05752509c572a5a0,개밥집 (해운대구),35.2249667,129.1492774,해운대구,사삼이오커피 (해운대구),35.2001854,129.1339487,해운대구,3.0875,short_1_5_to_4km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-2d8910a81f9c3f6cd4c3,굿데이 (연제구),35.1747035,129.0922954,연제구,하남돼지집 명지점 (강서구),35.0961484,128.9241156,강서구,17.6121,long_12_to_25km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-aa4addcbc3f276241f97,오달진공방 (수영구),35.1598522,129.1264865,수영구,멍무이쌀롱 (수영구),35.1503,129.1121137,수영구,1.6839,short_1_5_to_4km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-8c23c8ea17bc2bcdf2f8,테마 (부산진구),35.1519244,129.0489767,부산진구,BOO헤어클럽미용실 (중구),35.1028233,129.0283459,중구,5.7732,medium_4_to_12km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-d7871ccf61ec9be19f14,르쎄(Lessai) (동래구),35.1913845,129.1041496,동래구,경신이불 (중구),35.1006955,129.0285873,중구,12.2021,long_12_to_25km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-ef46f6ff2c62fa970945,남경식당 (부산진구),35.1771954,129.0534711,부산진구,간이역 (해운대구),35.1829676,129.2025587,해운대구,13.565,long_12_to_25km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-02328f0f1c5baef2882c,태종대부설주차장 (영도구),35.0553443,129.0846248,영도구,니나노 광안점 (수영구),35.1578556,129.1227174,수영구,11.9138,medium_4_to_12km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-4610d8815baff6060b58,맘스터치 (영도구),35.0901817,129.0425437,영도구,샐러드앤가든 부산중서구점 (서구),35.1084435,129.0172473,서구,3.0691,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-0367d50c2c85342eae3f,맘스터치 (연제구),35.1858717,129.0980672,연제구,달까스점빵 (동래구),35.2036541,129.1041973,동래구,2.0543,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-1389a6116fe3fa4a7d6f,메조포르테(Mezzo Forte) (중구),35.1013839,129.0302996,중구,위더스짐 (사하구),35.1103622,128.9654049,사하구,5.9871,medium_4_to_12km,luggage_midday,normal,2026-08-03T12:30:00+09:00,true,false,false,true,false,false,synthetic_od_from_public_poi
od-63bdc10a1847d9b15d46,평화PMC (강서구),35.2054171,128.9737273,강서구,송정어가(송정魚가) (해운대구),35.1852219,129.201471,해운대구,20.816,long_12_to_25km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-55780b3f066333e561ef,이레 (서구),35.0812378,129.0232108,서구,강도야지 (중구),35.1024048,129.024695,중구,2.3575,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-40c22bd6addfeff7158d,(주)밸런스파워 (강서구),35.0905781,128.8551189,강서구,장군아 (사하구),35.0907439,128.9766346,사하구,11.0561,medium_4_to_12km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-f42ff1aeb2e86217f9ea,닷닷닷 부산대점 (금정구),35.2335769,129.0843254,금정구,인정국물떡볶이 (사하구),35.057688,128.9677607,사하구,22.245,long_12_to_25km,luggage_midday,normal,2026-08-03T12:30:00+09:00,true,false,false,true,false,false,synthetic_od_from_public_poi
od-b54a73f72b028bdd4724,051짐(051GYM) (남구),35.1353645,129.0955635,남구,매머드익스프레스부산연산중앙점 (연제구),35.185972,129.0797756,연제구,5.8074,medium_4_to_12km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-5c7e253d015fabdd2c96,며느리선지국 (남구),35.1363367,129.0889464,남구,낚시고기횟집(양정점) (부산진구),35.1699874,129.0699208,부산진구,4.1222,medium_4_to_12km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-f8d01326c4a8bf4e2777,MY커뮤니티 (남구),35.123393,129.0857279,남구,네가편한세상 (부산진구),35.1435196,129.0599049,부산진구,3.2439,short_1_5_to_4km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-aa862107c91ce5d6f06e,소담막걸리 (수영구),35.1566136,129.1112146,수영구,냉삼집 (연제구),35.1846371,129.1082987,연제구,3.1273,short_1_5_to_4km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-67548222dd01664dcb97,낙원양곱창 (연제구),35.1767904,129.0687825,연제구,성림의료기 (금정구),35.2546907,129.0911333,금정구,8.8969,medium_4_to_12km,luggage_midday,normal,2026-08-03T12:30:00+09:00,true,false,false,true,false,false,synthetic_od_from_public_poi
od-1d521263009377a6ee2d,강가네반찬 (기장군),35.3194889,129.1745414,기장군,부산태닝샵 올탠 (금정구),35.2402959,129.0862271,금정구,11.9083,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-322d0393e3ef4376fa30,건강한약국 (기장군),35.2047802,129.2053805,기장군,동일식당 (기장군),35.2337924,129.2170972,기장군,3.3971,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-fb20d5bb4eb080faff5b,빠사삭땅콩빵 (강서구),35.1486426,128.8810261,강서구,(주)밸런스파워 (강서구),35.0905781,128.8551189,강서구,6.873,medium_4_to_12km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-b5852f26f14fa4d9ae28,뮤즈헤어 (북구),35.2110771,129.0235115,북구,그린당구장 (북구),35.2051132,129.0046761,북구,1.8353,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-144e9d3d7a2c555e9c4d,송백장횟집 & 해물칼국수 (사하구),35.0465378,128.968988,사하구,썸모텔 (영도구),35.0909549,129.039729,영도구,8.1143,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-ec1c9975c948e07dbd5e,정선미소반 (연제구),35.1963451,129.0784741,연제구,명품식당 (기장군),35.3271509,129.2831686,기장군,23.5999,long_12_to_25km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-d7f8d2b675abca926a76,(주)디에이치커피컴퍼니 (강서구),35.2194096,128.9343559,강서구,태광펫 (강서구),35.2181363,128.9770009,강서구,3.8765,short_1_5_to_4km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-f980f4cf0f0032ad139e,김명영치과의원 (북구),35.2101119,129.0063632,북구,해림장횟집 (기장군),35.2719507,129.2441572,기장군,22.6639,long_12_to_25km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-4a0d1aadf311e49d85ff,보스턴치과 (기장군),35.2485873,129.2181639,기장군,센텀스카이에듀학원 (해운대구),35.1716963,129.1393936,해운대구,11.1496,medium_4_to_12km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-2141ec8a02df6099b408,모닝글로리 해운대점 (해운대구),35.1671632,129.1576616,해운대구,(Nail)네일 호 (수영구),35.1674559,129.1219992,수영구,3.2418,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-0d1a1ef327db28bb1f02,그린유통 (사상구),35.1361506,128.9929039,사상구,나부장 (부산진구),35.1659907,129.0329663,부산진구,4.9271,medium_4_to_12km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-c9410ae83dc59cbe0ccc,송수근내과의원 (부산진구),35.1633284,129.0399393,부산진구,만복식당 (동래구),35.1995682,129.0754542,동래구,5.163,medium_4_to_12km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-ea713ca9734643489016,재민약국 (남구),35.1359282,129.0712384,남구,가장맛있는족발 부산대점 (금정구),35.230348,129.085543,금정구,10.5792,medium_4_to_12km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-f97cd4214b082d1064a4,블루샥 문현지게골점 (남구),35.1355041,129.0706295,남구,헤이!티(HEY!TEA) (기장군),35.320157,129.1839107,기장군,22.9664,long_12_to_25km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-1b21532ab10b5e09a1a6,송정서핑스쿨 (해운대구),35.1809782,129.2024577,해운대구,블루세탁 (해운대구),35.1720822,129.1757482,해운대구,2.6214,short_1_5_to_4km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-041243d7082f973b07ed,잇도넛 (남구),35.1443941,129.076366,남구,서울자동차공업사 (중구),35.1048473,129.0242972,중구,6.4624,medium_4_to_12km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-f56b2a2faf67650af73c,삼촌상회 (중구),35.1019235,129.0257751,중구,도쿠도쿠 덕천점 (북구),35.2097415,129.00732,북구,12.1057,long_12_to_25km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-1b41be634299489af4f5,서울감자탕 (동구),35.1197627,129.0395351,동구,송정 에스스테이 (해운대구),35.1814137,129.2020946,해운대구,16.292,long_12_to_25km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-8725362433d454cffc7b,미포레스트 (해운대구),35.1606832,129.1706893,해운대구,(주)에이스침대 부산지점 (해운대구),35.1723017,129.1335181,해운대구,3.6174,short_1_5_to_4km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-03eebb27003f3e21006d,아이스크림 할인점 (영도구),35.075903,129.0726081,영도구,양푼이국수 (영도구),35.0968891,129.060223,영도구,2.5914,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
